Designator,Mid X,Mid Y,Layer,Rotation
,,,,
T14,12408.307mil,1091.201mil,T,360
T5,10866.142mil,400mil,T,90
T4,11455mil,159.764mil,T,180
T3,10866.142mil,1570mil,T,90
T2,11460mil,1815.236mil,T,0
R41,13210mil,1674.567mil,T,270
R40,13330mil,1674.567mil,T,270
R39,13570mil,1674.567mil,T,270
R25,12540mil,855.433mil,T,90
R16,11129.567mil,100mil,T,180
R15,11130.433mil,220mil,T,0
R14,11134.567mil,1875mil,T,180
R13,11130.433mil,1755mil,T,0
R12,11035.433mil,984.252mil,T,360
O2,13460.984mil,1470mil,T,180
K1,12910mil,985mil,T,90
J9,15590.551mil,1280mil,T,270
J6,15234.744mil,332.008mil,T,360
J1,15590.551mil,1725mil,T,270
IR2,10830.709mil,157.48mil,T,90
IR1,10830.709mil,1811.024mil,T,90
H15,14662.52mil,525.118mil,T,270
H13,14662.52mil,1524.331mil,T,270
F1,2526.299mil,531.574mil,T,90
D16,13680mil,1674.527mil,T,90
D14,12625mil,1087.992mil,T,90
D13,12380.472mil,890mil,T,180
D12,10826.772mil,984.252mil,T,90
C18,13450mil,1674.567mil,T,270
C13,13599.685mil,268.346mil,T,180
C10,2555mil,1465mil,T,270
J25,15590.551mil,880mil,T,270
H25,14662.52mil,1050.906mil,T,270
