Comment,Footprint,Designator
,,
BC847A,BC847A,"T2, T4"
Cap 1uf,CAP 1UFSMD,C18
Cap 470uf,Cap 470uf,C10
Clema 3,Clema3,C13
Comment,CONECTOR 4 PINES,H25
Comment,Terminal Blocks 2in,J25
FUSE,FUSE,F1
G6K-2F-TR-DC5,RELAY_G6K-2F-TR-DC5,K1
IN4001,C162732,D14
JACK 2IN,Terminal Blocks 2in,"J1, J9"
Led 0805 Amarillo,Led 0805 Amarillo,D12
LED 0805 SMD,LED SMD Amarillo,"D13, D16"
Res 10K smd,RES 10K,R41
Res 1K smd,RES 1K,"R13, R14, R15, R16, R25, R40"
Res 49.9 Ohms smd,RES 49.9 OHMS,R12
Res 560 Ohms smd,RES 560,R39
RJ45,RJ45 PLUG,J6
TCMT1100,TCMT110,O2
TRANSISTORS (NPN/PNP) NPN 100MA 45V,C8659,T14
TSMP6000TT,TSMP6000TT,"IR1, IR2"
TSMP77000,TSMP77000,"T3, T5"
XHP-2 CONECTOR,CONECTOR 2 PINES,H13
XHP-3 CONECTOR,CONECTOR XHP-3,H15
