Comment,Footprint,Designator
,,
1N4148,1N4148,D1
74LVC125A,"74LVC125APW,118",B2
BC847A,BC847A,"T6, T8, T10, T12"
BuzzerSMD,BUZZERSMD,B1
Cap 0.1uf smd,CAP0.1UFSMD,"C2, C4, C5, C6, C8, C15"
Cap 100nf smd,CAP100NFSMD,"C11, C14"
Cap 10nf smd,CAP10NFSMD,C1
Cap 10uf smd,CAP10UFSMD,"C3, C12"
Cap 1uf,CAP 1UFSMD,C17
Cap 220uf smd,CAP220UFSMD,C9
Cap 4.7uf smd,CAP4.7UFSMD,C16
Cap 680uf smd,CAP680UFSMD,C7
Comment,Switch Magnetico,SM1
CP2102,CP2102,U4
ESP32,ESP32,U1
HL-PC-2012H322W-L(9000K-16000K),Led 0805 White,D7
Inductor 33uh,Inductor 33UH,I1
JACK 2IN,Terminal Blocks 2in,J8
JumperSMD,Jumper SMD,J3
LD1117,LD1117,U3
Led 0805 Amarillo,Led 0805 Amarillo,"D10, D11"
LED 0805 SMD,LED SMD Amarillo,D15
Led Verde 0805,Led 0805 Verde,"D4, D8"
LM2596,LM2596,U2
MSS3-Q-T/R,MSS3-Q-T/R,S3
PMEG3050EP,PMEG3050EP,D6
Res 0ohms,RES 0 Ohms,"R30, R31"
Res 10K smd,RES 10K,"R2, R3, R4, R32, R38"
Res 120ohms,RES 120OHMS,R6
Res 1K smd,RES 1K,"R1, R17, R18, R19, R20, R21, R22, R23, R24, R37"
Res 22.1K smd,RES 22.1K,R34
Res 2K smd,RES 2K,R33
Res 3.3K,Res 3.3K,"R26, R27, R28, R29"
Res 47.5K,RES 47.5K,R35
Res 49.9 Ohms smd,RES 49.9 OHMS,"R7, R8, R10, R11"
Res 560 Ohms smd,RES 560,"R5, R36"
SS24,SS24,D5
SS8050,SS8050,"D2, D3"
TCMT1100,TCMT110,O1
TF-15x15,TF-15x15,H16
TRANSISTORS (NPN/PNP) NPN 100MA 45V,C8659,T1
TS-1187A-B-A-B,TS-1187A-B-A-B,"S1, S2, S4"
TSMP6000TT,TSMP6000TT,"IR3, IR4, IR5, IR6"
TSMP77000,TSMP77000,"T7, T9, T11, T13"
USB smd,USB smd,J7
XHP-2 CONECTOR,CONECTOR 2 PINES,H17
